#        Em_x_FC[n.u.]          Em_y_FC[n.u.]          Em_z_FC[n.u.]          En_x_FC[n.u.]          En_y_FC[n.u.]          En_z_FC[n.u.]
-8.989152140353392e-03 -2.916943859591732e-01 -9.564693305818532e-01 -4.294172245429336e-01  3.890219669384745e-01 -8.150231631709397e-01
-3.574080767283586e-01  9.339021525503736e-01 -9.286342181633208e-03 -1.174096603504775e-01  4.221538717807955e-01  8.988888030211908e-01
 5.565705159347426e-02 -3.829944015877666e-02  9.977151123900277e-01  4.552395911773554e-01  6.779041308047146e-01 -5.772373030761082e-01
-4.979886130464206e-01 -6.037032153975119e-01  6.225349540345566e-01  5.161145111379960e-01 -3.566946185063046e-01  7.787135291757998e-01
 1.440182503966221e-02  5.867984945776175e-01  8.096049124091138e-01 -5.012094936124366e-01  7.610728805797549e-02 -8.619725774160251e-01
-7.986616159462840e-01 -4.187412943362478e-01 -4.321982781451982e-01  9.639232097462223e-02  1.022985700380314e-01 -9.900724837229340e-01
 2.780584953592635e-01 -9.550366037878747e-01  1.029007219793156e-01  5.627757767526799e-02 -6.006293375667374e-02  9.966068824965768e-01
 6.893583802640002e-01  5.388156602862669e-01  4.842134940189795e-01  1.744787145060815e-01 -3.961415253200644e-01  9.014594112334721e-01
-9.843383887922020e-01 -1.046464718209556e-01  1.418698427622926e-01  1.710119232061511e-02  6.615774243244931e-01  7.496818397462905e-01
 6.836443082653552e-02  8.949389164920948e-01 -4.409202199329482e-01  4.649171966241600e-02 -7.622435360183185e-01 -6.456185497653563e-01
-3.680491890602847e-02  9.992469232842791e-01 -1.228756490207677e-02  3.234830132618186e-01 -2.931061220277891e-01  8.996930261822000e-01
-9.680221725916914e-01  1.111701686621870e-01  2.248872316750833e-01  1.109415388721319e-02  3.812770308264118e-01  9.243942586979444e-01
-2.315752043705769e-01  2.660094238841634e-02  9.724532454492472e-01  6.023382363774172e-01  3.866078668747743e-01  6.983716820349172e-01
-2.300367269960439e-01 -1.868759153439191e-01 -9.550709379398580e-01  6.441634839851635e-01 -4.253794831250949e-01  6.356930872963170e-01
-1.976974201455093e-01  1.511834858896669e-01  9.685346063316782e-01 -1.349878189345001e-01  6.853287063720098e-01 -7.156136198828066e-01
-1.091702986154179e-01  2.654421178134258e-01 -9.579260555966436e-01 -1.467454463668080e-01  8.489665510606125e-01 -5.076628498825325e-01
-8.834551638734162e-01  4.678227881024360e-01 -2.547179533246029e-02  4.626811928913601e-01  8.665637830814589e-01  1.870650250479185e-01
-2.560515092351656e-01  9.592417936476606e-01 -1.195525237626245e-01 -6.796195909972758e-02 -1.460265055108625e-03  9.976868445265257e-01
 5.598611725783371e-01  7.737934965614006e-01  2.963091158207778e-01 -8.358764510979476e-01 -3.131973549251053e-01  4.507970445420178e-01
-1.912306271246159e-01 -9.135650890073920e-01  3.589285101471351e-01  6.130524811165698e-02 -2.915690053689781e-02 -9.976931099817467e-01
-4.843818141129553e-01  2.314696877260425e-01  8.436800589208274e-01  1.338775604561707e-01 -7.128695387171935e-01 -6.883994622132125e-01
-1.946996238187571e-01  6.114546914612071e-01 -7.669518999095800e-01 -2.790978617671269e-01  7.112243687310621e-01  6.451854623905594e-01
-1.094565840921528e-01  7.225556421519121e-02 -9.913618863153969e-01  2.444946042030301e-01  3.515507290253533e-01 -9.036783019622338e-01
 9.413034381802434e-01  1.280515381055656e-01  3.123309796655647e-01  8.103982479558862e-03  3.791202167616997e-02  9.992482194532031e-01
 2.474609910727345e-01 -1.355110505346960e-01 -9.593746989994488e-01 -9.493334475352260e-01 -6.290684593608223e-02  3.079102696001814e-01
 8.601883544381170e-02  3.876255941116373e-01  9.177947258175385e-01  2.735095197228658e-01 -3.102944815769672e-01 -9.104448787948936e-01
-8.060677230525110e-01  2.778881654127680e-01  5.225255911211111e-01 -7.002428956860025e-01  2.878363070308813e-01 -6.533070850649841e-01
